rel_week,estimate,conf.low,conf.high
-12,0.011986589312151954,-0.510973681207643,0.5349468598319469
-11,0.1931758245755688,-0.37871157029048425,0.7650632194416218
-10,-0.45557438406882994,-0.9141169592128592,0.002968191075199307
-9,-0.05975267050845951,-0.6283974392793242,0.5088920982624052
-8,-0.018854221289054503,-0.5929051238804667,0.5551966813023576
-7,0.31658469696650654,-0.2842154201004392,0.9173848140334524
-6,0.04501836784875089,-0.4611244238425497,0.5511611595400515
-5,0.10636827592956606,-0.24652699303701212,0.4592635448961443
-4,0.08042676777730311,-0.6188646204474979,0.7797181560021041
-3,-0.057001397358091115,-0.5330110850475411,0.41900829033135883
-2,0.008177689183164439,-0.5965121676239489,0.6128675459902777
-1,0,0,0
0,2.072893128047978,1.5009513158442935,2.6448349402516627
1,1.9024618508333473,1.469275046794072,2.3356486548726227
2,1.5871413755575654,0.9635502495379249,2.210732501577206
3,1.97340345313842,1.430687590386355,2.5161193158904847
4,1.7468191158826745,1.2734687242105722,2.2201695075547767
5,2.0301981075031894,1.4076160314893618,2.6527801835170175
6,1.9176629785287262,1.430352685016995,2.4049732720404577
7,2.0986713529183696,1.5953398119236728,2.602002893913066
8,1.6732155995059068,1.108273577762987,2.238157621248827
9,2.1424608343765117,1.6443674442970866,2.640554224455937
10,1.8593202716648307,1.266717797802201,2.45192274552746
11,1.9068703788710042,1.3836783117009965,2.430062446041012
